📡节目一,#genre#
CCTV12,http://118.122.144.115:8888/newlive/live/hls/12/live.m3u8
CCTV13,http://118.122.144.115:8888/newlive/live/hls/13/live.m3u8
CCTV14,http://118.122.144.115:8888/newlive/live/hls/14/live.m3u8
CCTV15,http://118.122.144.115:8888/newlive/live/hls/15/live.m3u8
CCTV17,http://118.122.144.115:8888/newlive/live/hls/17/live.m3u8
CCTV5+,http://118.122.144.115:8888/newlive/live/hls/16/live.m3u8
安徽卫视,http://118.122.144.115:8888/newlive/live/hls/29/live.m3u8
北京卫视,http://118.122.144.115:8888/newlive/live/hls/23/live.m3u8
重庆卫视,http://118.122.144.115:8888/newlive/live/hls/26/live.m3u8
东方卫视,http://118.122.144.115:8888/newlive/live/hls/22/live.m3u8
东南卫视,http://118.122.144.115:8888/newlive/live/hls/25/live.m3u8
广东卫视,http://118.122.144.115:8888/newlive/live/hls/31/live.m3u8
贵州卫视,http://118.122.144.115:8888/newlive/live/hls/27/live.m3u8
湖北卫视,http://118.122.144.115:8888/newlive/live/hls/28/live.m3u8
湖南卫视,http://118.122.144.115:8888/newlive/live/hls/19/live.m3u8
湖南卫视,http://118.122.144.115:8888/newlive/live/hls/19/live.m3u8
河南卫视,http://118.122.144.115:8888/newlive/live/hls/30/live.m3u8
江苏卫视,http://118.122.144.115:8888/newlive/live/hls/20/live.m3u8
江西卫视,http://118.122.144.115:8888/newlive/live/hls/24/live.m3u8
四川卫视,http://118.122.144.115:8888/newlive/live/hls/36/live.m3u8
四川卫视,http://118.122.144.115:8888/newlive/live/hls/18/live.m3u8
深圳卫视,http://118.122.144.115:8888/newlive/live/hls/33/live.m3u8
浙江卫视,http://118.122.144.115:8888/newlive/live/hls/21/live.m3u8
峨眉电影,http://118.122.144.115:8888/newlive/live/hls/32/live.m3u8
电影台,http://118.122.144.115:8888/newlive/live/hls/38/live.m3u8
百事通,http://118.122.144.115:8888/newlive/live/hls/39/live.m3u8
金鹰卡通,http://118.122.144.115:8888/newlive/live/hls/40/live.m3u8
文化旅游,http://118.122.144.115:8888/newlive/live/hls/35/live.m3u8
四川文化旅游,http://118.122.144.115:8888/newlive/live/hls/34/live.m3u8


📡节目三,#genre#

无线新闻台,http://cdn9.163189.xyz/smt1.1.php?id=inews_twn
华丽翡翠台,http://cdn9.163189.xyz/smt1.1.php?id=Tvbjade
千禧经典台,http://cdn9.163189.xyz/smt1.1.php?id=Tvbclassic
Asstr欢喜台,https://cdn9.163189.xyz/smt3.1.1.php?id=Huahee
无线翡翠,https://cdn9.163189.xyz/smt3.1.1.php?id=jade_twn
无线新闻,https://cdn9.163189.xyz/smt3.1.1.php?id=inews_twn
无线明珠频英,https://cdn9.163189.xyz/smt3.1.1.php?id=pearl_twn
凤凰中文,https://cdn9.163189.xyz/smt3.1.1.php?id=phoenixtv_hd
天映频道,https://cdn9.163189.xyz/smt3.1.1.php?id=Celestial
TVB星河,http://cdn9.163189.xyz/smt1.1.php?id=Xinhe
天文AOD,http://cdn9.163189.xyz/smt1.1.php?id=Aodhd
翡翠台,http://cdn9.163189.xyz/smt1.1.php?id=jade_twn
VIUTV,https://cdn9.163189.xyz/smt3.1.1.php?id=viusix_twn
凤凰香港,https://cdn9.163189.xyz/smt3.1.1.php?id=hkphoenix_twn
凤凰资讯,https://cdn9.163189.xyz/smt3.1.1.php?id=phoenixinfo_hd
无线千禧,https://cdn9.163189.xyz/smt3.1.1.php?id=Tvbclassic
美亚电影,https://cdn9.163189.xyz/smt3.1.1.php?id=meiyamovie_twn
天映经典,https://cdn9.163189.xyz/smt3.1.1.php?id=Celestial2
无线星河,https://cdn9.163189.xyz/smt3.1.1.php?id=Xinhe
无线娱乐,https://cdn9.163189.xyz/smt3.1.1.php?id=Tvbentertainment
无线华丽,https://cdn9.163189.xyz/smt3.1.1.php?id=Tvbjade
加综合,https://cdn9.163189.xyz/smt3.1.1.php?id=j2_twn
天文台,https://cdn9.163189.xyz/smt3.1.1.php?id=Aodhd
星体-AeC,https://cdn9.163189.xyz/smt3.1.1.php?id=AEC
香港电台-31,https://cdn9.163189.xyz/smt3.1.1.php?id=rhk31_twn
香港电台-32,https://cdn9.163189.xyz/smt3.1.1.php?id=rhk32_twn
星体季刊,https://cdn9.163189.xyz/smt3.1.1.php?id=全佳
VIUTV2,https://cdn9.163189.xyz/smt3.1.1.php?id=viu1_twn
星,https://cdn9.163189.xyz/smt3.1.1.php?id=Qiyi
龙华洋片,http://v2h.veryfast.filegear-sg.me/live/lhyp/stream.m3u8
龙华经典,http://v2h.veryfast.filegear-sg.me/live/lhjd/stream.m3u8
龙华电影,http://v2h.veryfast.filegear-sg.me/live/lhdy/stream.m3u8
龙华偶像,http://v2h.veryfast.filegear-sg.me/live/lhox/stream.m3u8
龙华日韩,http://v2h.veryfast.filegear-sg.me/live/lhrh/stream.m3u8
龙华卡通,http://v2h.veryfast.filegear-sg.me/live/lhkt/stream.m3u8
龙华戏剧,http://v2h.veryfast.filegear-sg.me/live/lhxj/stream.m3u8
文物宝库,http://php.jdshipin.com:8880/hntv.php?id=wwbk
天文台,http://cdn9.163189.xyz/smt3.1.1.php?id=Aodhd
湖南电视剧,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hndsj
湖南电影,http://php.jdshipin.com:8880/iptv.php?id=hndy
湖南娱乐,http://php.jdshipin.com:8880/iptv.php?id=hnyl
湖南经视,http://php.jdshipin.com:8880/iptv.php?id=hnjs
湖南国际,http://php.jdshipin.com:8880/iptv.php?id=hngj
湖南爱晚,http://php.jdshipin.com:8880/iptv.php?id=hngg
湖南都市,http://php.jdshipin.com:8880/iptv.php?id=hnds


📡节目三（VPN),#genre#
无线娱乐新闻台,http://v2h.veryfast.filegear-sg.me/live/ylxw/stream.m3u8
TVB娱乐新闻台,http://v2h.veryfast.filegear-sg.me/live/ylxw/stream.m3u8
翡翠台2,http://v2h.veryfast.filegear-sg.me/live/tvbd/stream.m3u8
TVB亚洲武侠,http://v2h.veryfast.filegear-sg.me/live/yzwx/stream.m3u8
华丽翡翠台2,http://v2h.veryfast.filegear-sg.me/live/hlfct/stream.m3u8
无线新闻台2,http://v2h.veryfast.filegear-sg.me/live/wxxw/stream.m3u8
澳视卫星,http://v2h.veryfast.filegear-sg.me/live/as/stream.m3u8
龙华洋片,http://v2h.veryfast.filegear-sg.me/live/lhyp/stream.m3u8
龙华戏剧,http://v2h.veryfast.filegear-sg.me/live/lhxj/stream.m3u8
龙华日韩,http://v2h.veryfast.filegear-sg.me/live/lhrh/stream.m3u8
龙华偶像,http://v2h.veryfast.filegear-sg.me/live/lhox/stream.m3u8
龙华卡通,http://v2h.veryfast.filegear-sg.me/live/lhkt/stream.m3u8
龙华经典,http://v2h.veryfast.filegear-sg.me/live/lhjd/stream.m3u8
龙华电影,http://v2h.veryfast.filegear-sg.me/live/lhdy/stream.m3u8
八度空间,http://v2h.veryfast.filegear-sg.me/live/8tv/stream.m3u8
重温经典,http://v2h.veryfast.filegear-sg.me/live/cwjd/stream.m3u8
澳视澳门,http://v2h.veryfast.filegear-sg.me/live/asam/stream.m3u8
凤凰香港2,http://v2h.veryfast.filegear-sg.me/live/fhhk/stream.m3u8
凤凰中文2,http://v2h.veryfast.filegear-sg.me/live/fhzw/stream.m3u8
凤凰资讯2,http://v2h.veryfast.filegear-sg.me/live/fhzx/stream.m3u8
翡翠台4K,http://v2h.veryfast.filegear-sg.me/live/fct4k/stream.m3u8
TVB星河2,http://v2h.veryfast.filegear-sg.me/live/tvbxh/stream.m3u8
明珠台,http://v2h.veryfast.filegear-sg.me/live/mzt/stream.m3u8
翡翠台3,http://v2h.veryfast.filegear-sg.me/live/fct/stream.m3u8
TVB Plus,http://v2h.veryfast.filegear-sg.me/live/tvbp/stream.m3u8
HOY 77,http://v2h.veryfast.filegear-sg.me/live/hoy/stream.m3u8
TVBJ1,http://v2h.veryfast.filegear-sg.me/live/j1/stream.m3u8
TVB1,http://v2h.veryfast.filegear-sg.me/live/tvb1/stream.m3u8
第五频道,http://v2h.veryfast.filegear-sg.me/live/ch5/stream.m3u8
CH8,http://v2h.veryfast.filegear-sg.me/live/ch8/stream.m3u8
CHU,http://v2h.veryfast.filegear-sg.me/live/chu/stream.m3u8



📡咪视通,#genre#
咪视界4K,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000005180
至臻视界4K,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000015686
至臻视界3D,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000025943
至臻视界3D,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000027638
咪咕视频,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000000097
咪咕视频,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000002019
咪咕视频,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000003915
咪咕视频,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000004193
咪咕视频,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000005837
咪咕视频,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000006077
咪咕视频,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000006658
咪咕视频,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000009788
咪视界,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000001000005308
咪视界,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000001000005969
咪视界,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000001000007218
咪视界,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000001000008001
咪视界,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000001000008176
咪视界,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000001000008379
咪视界,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000001000010129
咪视界,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000001000010948
咪视界,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000001000028638
咪视界,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000001000031494
咪视界,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000010833
咪视界,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000011297
咪视界,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000011518
